"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21738","Проверка после логина перехода на MinePage при клике по лого","","Sat Nov 15 18:35:41 MSK 2025","passed","Sat Nov 15 18:36:03 MSK 2025","","ru.educationServices.stellarburgers.TestRedirectContructorBurger","ru.educationServices.stellarburgers.TestRedirectContructorBurger","TestLogOutClientProfile"
"","13079","Проверка корректности перехода к секции Начинки","","Sat Nov 15 18:34:12 MSK 2025","passed","Sat Nov 15 18:34:25 MSK 2025","","ru.educationServices.stellarburgers.TestSectionNavigationIngredient","ru.educationServices.stellarburgers.TestSectionNavigationIngredient","testSectionNavigationFilling"
"","18623","Авторизация пользователя через форму регистрации","","Sat Nov 15 18:33:40 MSK 2025","passed","Sat Nov 15 18:33:59 MSK 2025","","ru.educationServices.stellarburgers.TestLoginClient","ru.educationServices.stellarburgers.TestLoginClient","TestLoginClientFromRegistrationPage"
"","18250","Авторизация пользователя через кнопку «Личный кабинет»","","Sat Nov 15 18:33:22 MSK 2025","passed","Sat Nov 15 18:33:40 MSK 2025","","ru.educationServices.stellarburgers.TestLoginClient","ru.educationServices.stellarburgers.TestLoginClient","TestLoginClientFromLoginPage"
"","21769","Проверка выхода пользователя из профиля","","Sat Nov 15 18:35:19 MSK 2025","passed","Sat Nov 15 18:35:41 MSK 2025","","ru.educationServices.stellarburgers.TestLogoutClient","ru.educationServices.stellarburgers.TestLogoutClient","TestLogOutClientProfile"
"","13082","Проверка корректности перехода к секции Соусы","","Sat Nov 15 18:33:59 MSK 2025","passed","Sat Nov 15 18:34:12 MSK 2025","","ru.educationServices.stellarburgers.TestSectionNavigationIngredient","ru.educationServices.stellarburgers.TestSectionNavigationIngredient","testSectionNavigationSauces"
"","14181","Проверка корректности перехода к секции Начинки","","Sat Nov 15 18:34:25 MSK 2025","passed","Sat Nov 15 18:34:39 MSK 2025","","ru.educationServices.stellarburgers.TestSectionNavigationIngredient","ru.educationServices.stellarburgers.TestSectionNavigationIngredient","testSectionNavigationBuns"
"","19204","Авторизация пользователя через вход с формы восстановления пароля","","Sat Nov 15 18:32:43 MSK 2025","passed","Sat Nov 15 18:33:03 MSK 2025","","ru.educationServices.stellarburgers.TestLoginClient","ru.educationServices.stellarburgers.TestLoginClient","TestLoginClientFromForgotPassword"
"","27494","Проверка перехода в личный кабинет после авторизации и корректности отображаемых там данных пользователя","","Sat Nov 15 18:32:16 MSK 2025","passed","Sat Nov 15 18:32:43 MSK 2025","","ru.educationServices.stellarburgers.TestLoginClient","ru.educationServices.stellarburgers.TestLoginClient","TestClickAccountProfile"
"","21534","Регистрация нового пользователя","","Sat Nov 15 18:34:39 MSK 2025","passed","Sat Nov 15 18:35:01 MSK 2025","","ru.educationServices.stellarburgers.TestRegistrationUser","ru.educationServices.stellarburgers.TestRegistrationUser","TestRegistrationClient"
"","19031","Авторизация пользователя по кнопке «Войти в аккаунт» на главной","","Sat Nov 15 18:33:03 MSK 2025","passed","Sat Nov 15 18:33:22 MSK 2025","","ru.educationServices.stellarburgers.TestLoginClient","ru.educationServices.stellarburgers.TestLoginClient","TestLoginFromMinePage"
"","18480","Регистрация клиент с паролем менее 6 символов","","Sat Nov 15 18:35:01 MSK 2025","passed","Sat Nov 15 18:35:19 MSK 2025","","ru.educationServices.stellarburgers.TestRegistrationUser","ru.educationServices.stellarburgers.TestRegistrationUser","TestRegistrationClientWrongPassword"
